Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Outstanding_Debt,Total_EMI_per_month,Delay_from_due_date,Num_of_Delayed_Payment,Credit_History_Age,Payment_of_Min_Amount,Credit_Utilization_Ratio,Credit_Mix,Monthly_Balance,Credit_Score
18.0,7,30625.94,2706.1616666666664,6,5,2.0,1562.91,42.941090422469365,57,26.0,129,1,30.07719135017377,0,400.36080052211616,0
26.0,9,52312.68,4250.39,6,5,4.0,202.68,108.36646712525564,5,18.0,372,1,40.286996673783,1,508.01234122645366,1
19.0,10,113781.38999999998,9549.7825,1,4,0.0,1030.2,0.0,14,8.0,190,0,28.59294254083936,2,597.8989834797281,1
44.0,3,58918.47,5208.8725,3,3,3.0,473.14,123.43493879634316,27,13.0,190,1,27.82995907548726,1,294.1014665671429,1
44.0,9,98620.98,7962.415000000001,3,3,3.0,1233.51,228.018083652734,12,9.0,214,0,26.52486357896023,2,485.8897083704929,1
27.0,6,46951.02,3725.585,7,4,0.0,340.22,0.0,8,9.0,257,0,38.68223175011704,1,225.12450541813288,2
34.0,0,61194.81,5014.5675,7,7,8.0,2773.09,225.3686913764476,19,22.0,171,1,27.268457710529688,0,359.55742873867035,0
52.0,8,170614.28,14463.856666666668,2,6,2.0,849.69,208.90747938201577,0,5.0,248,0,31.75752065713533,2,1303.2003157888887,1
31.0,5,89064.52,7256.043333333334,5,3,1.0,648.36,37.57275058079424,6,5.0,363,0,30.57429935886147,1,641.9374636584146,2
26.0,12,50807.44,4197.953333333334,8,4,4.0,869.59,88.75991924748364,12,9.0,274,0,30.311454014148158,1,515.7598495584575,0
40.0,7,60410.94,5274.245,4,7,4.0,1852.86,149.9263873826631,24,9.0,195,1,31.80839553625598,1,176.00533573585616,1
45.0,0,15989.085,1086.42375,5,4,4.0,665.82,33.797020629881075,13,15.0,237,0,40.69769934536393,2,284.3801148556844,2
28.0,1,129473.16,10959.43,3,4,3.0,568.21,255.32790499097848,28,13.0,240,1,34.089318015879286,1,32.34364544550715,2
40.0,12,98690.8,8262.233333333334,4,6,1.0,706.96,55.004407569291885,6,17.0,323,0,26.860663456485163,2,147.7376071067124,1
34.0,13,8978.11,894.1758333333332,8,8,9.0,4913.15,57.67965790681974,50,17.0,125,1,37.74656726266676,0,248.1720672803001,1
44.0,7,33441.59,2748.799166666666,2,4,0.0,154.96,0.0,1,4.0,383,0,35.984108540767004,1,335.34765595193227,1
27.0,0,42387.54,3680.295,3,7,7.0,1835.67,225.883368970478,9,8.0,120,1,28.75306000732747,1,268.6327687336854,0
37.0,9,14981.39,1461.4491666666663,2,7,4.0,1122.46,38.11596751942855,5,6.0,387,0,39.64164181721113,2,233.1397676567385,1
50.0,13,19180.87,1688.405833333333,8,4,4.0,1127.57,57.36421100960239,5,17.0,302,0,29.46533771819808,1,263.49314506847384,1
20.0,7,11336.835,992.73625,4,6,6.0,177.98,35.56273086250209,30,19.0,178,0,37.71745659884346,1,219.91354399412683,1
42.0,4,35022.22,2859.518333333333,3,5,1.0,1000.44,21.21457645232058,6,11.0,342,0,25.390232145913483,2,295.39214344389296,2
44.0,5,16053.86,1196.8216666666667,8,6,5.0,2107.76,44.86029054336601,27,18.0,194,1,36.85466926663253,0,210.7532520752824,0
46.0,14,86617.16,7250.096666666667,8,4,3.0,718.53,141.3820546343075,16,21.0,299,0,35.55554010560421,1,636.422471527819,2
24.0,0,34428.21,2289.593700256465,2,4,0.0,180.7,285.4237997435352,8,11.0,330,0,35.13053991265236,1,446.3700460486243,2
34.0,6,127617.6,10596.8,0,4,3.0,542.91,211.05460599751723,3,6.0,292,0,39.87736764081963,2,861.6006703641515,1
20.0,1,128698.76,10628.896666666666,7,5,4.0,583.11,251.6127820563614,8,14.0,203,1,28.440370434620167,1,914.9619297626592,1
32.0,0,58637.34,4799.445,4,6,3.0,208.8,139.8850133927109,9,17.0,368,1,25.23314363376225,1,434.8488737169301,1
55.0,2,134035.08,11102.589999999998,0,5,2.0,767.91,143.48373199958996,6,7.0,299,0,31.12893781571753,2,171.43675756534392,2
39.0,8,24709.33,1933.468717801689,5,5,3.0,413.18,196.02716159875592,27,11.0,214,0,32.76125199236517,1,334.6672973809443,0
34.0,6,49718.55,4179.2125,7,10,6.0,1920.25,231.95678064503065,27,17.0,168,1,30.10963834234661,0,45.08053062440501,1
34.0,1,75095.91,6269.9925,5,6,6.0,989.71,78446.0,9,10.0,144,1,24.21913739089471,1,234.0665602906369,1
51.0,3,42153.13,3377.7608333333333,5,4,3.0,1027.64,79.29961145958775,10,9.0,341,0,26.34447694521021,2,437.851569476464,1
38.0,6,36982.36,2554.813823273585,7,9,9.0,4882.12,454.41955211428353,15,15.0,93,1,32.002993587280805,1,84.70883763399478,1
43.0,7,12931.56,1348.63,4,4,3.0,752.86,20.579154708485927,18,20.0,256,1,27.70974959154035,1,298.7172327569344,0
23.0,7,20652.98,1468.081666666667,7,5,2.0,1859.53,33.238356239959586,24,10.0,227,0,37.44110091296552,1,348.96642479393626,0
55.0,8,31641.93,2610.8275,4,6,3.0,583.6,60.33629926519114,25,12.0,245,0,40.34938872423535,1,344.6589324314184,0
45.0,14,49140.87,4377.0725,10,6,6.0,2950.8,154.17242632517255,35,18.0,78,0,31.16378561923996,0,271.94102875609155,1
41.0,13,130435.86000000002,10623.655,4,846,2.0,942.71,188.18613322151185,13,1.0,359,0,34.78470397665838,2,81.1419359951725,1
41.0,6,17603.265,1324.9459783621264,8,6,0.0,836.66,102.9927716378738,9,12.0,189,0,41.792552501915615,1,362.1593857148864,2
20.0,11,114432.03,9272.0025,1,2,0.0,444.51,0.0,9,9.0,258,0,39.01478410347445,2,1065.5509474395303,1
29.0,2,16718.645,1270.2204166666668,7,3,4.0,853.41,50.9619359000891,26,11.0,195,0,31.39733884144666,1,319.6470136821514,2
48.0,9,136150.6,11127.883333333331,1,5,3.0,260.29,177.65407218247665,10,3.0,328,0,35.958594509030085,1,898.3588009083421,2
49.0,6,5691341.0,1712.969166666667,7,3,3.0,277.93,37.99637812752503,6,12.0,220,0,40.27854125759779,1,327.9283743913377,1
35.0,6,60830.92,5044.243333333333,0,1,4.0,133.63,159.79934699914432,14,3.0,286,0,38.71229771775232,1,230.57916826614724,1
39.0,1,49454.13,4328.1775,8,5,2.0,1388.56,73.34635944957465,59,23.0,160,0,28.97842663428932,0,459.0780762014136,0
24.0,7,158623.16,13180.596666666665,2,7,1.0,1134.83,91.03390497961712,10,5.0,362,0,41.7968001237713,2,1194.3070725894725,0
39.0,2,15968.14,1380.678333333333,7,7,9.0,4912.8,77.99711821646055,37,21.0,148,1,39.89441606895375,0,211.47204376821247,0
25.0,13,105645.6,9090.8,4,3,4.0,1336.91,315.40610064414074,28,19.0,256,0,40.455481525263146,1,662.7747121329272,1
27.0,11,9929.235,828.4362500000002,4,8,3.0,2328.08,18.120966441843297,16,18.0,86,1,36.50926646104516,1,260.9159334781246,0
37.0,10,43133.85000000001,3432.487500000001,10,10,7.0,2504.1,151.28725497549289,43,24.0,129,1,27.11586056380063,0,364.0689853638198,1
34.0,7,64933.76,5368.1466666666665,3,3,3.0,2699.17,193.69258208877807,15,19.0,172,1,24.95863819730197,1,406.9754192189962,1
51.0,6,28315.95,2415.6625,4,7,2.0,677.4,30.230996271640148,8,8.0,245,0,26.91232349813161,2,368.2864187632472,2
30.0,6,12660.16,909.0133333333332,5,7,0.0,456.02,0.0,8,14.0,304,0,33.46263115825526,1,338.2549367415748,0
54.0,7,150131.68,11102.135321735655,5,1,0.0,1138.36,1494.8380115976777,8,0.0,383,0,45.2558066955709,2,1328.93819528292,1
29.0,2,39576.59,3199.049166666666,0,7,4.0,226.37,124.31083909356008,14,4.0,239,0,29.326166044456954,1,340.83091335258587,0
36.0,0,16341.075,1292.75625,4,4,2.0,684.05,16.960460461757126,8,20.0,205,0,39.405195444591534,1,250.36103690258773,1
22.0,0,43062.54,3607.545,6,10,2.0,2169.75,47.499818741612366,55,20.0,183,1,30.04262296575237,1,491.3080959708013,0
31.0,14,28952.76,2338.73,7,9,8.0,2717.85,155.77998901144184,38,25.0,14,1,28.629538257401137,0,261.3152068058676,0
25.0,0,117499.47,9780.6225,4,5,0.0,337.9,0.0,10,8.0,368,0,30.61812257306397,2,923.6642729001657,0
43.0,7,76284.72,6451.06,6,10,6.0,1957.32,222.95900228494304,24,12.0,241,1,29.3644336737857,1,508.4975284737153,0
36.0,5,56301.9,4593.825,9,5,2.0,2161.23,50.11934808737193,15,18.0,174,1,37.38149611193315,1,378.4187115482909,0
40.0,8,70277.22,5633.435,3,6,3.0,762.48,149.93410641234473,5,9.0,246,0,36.53293818170338,2,186.61820273684376,2
24.0,6,71809.76,6168.1466666666665,7,7,8.0,4439.92,297.91768403000606,52,15.0,83,1,34.46230520977181,1,467.0376168289717,0
34.0,14,15264.98,1266.0816666666667,6,5,3.0,2375.88,50563.0,23,14.0,106,1,24.094344057885515,0,242.8660473000196,0
